Age,Salary,Gender,Location,Property_Type,RAM,Credit_Score,Churn,Marital_Status,Dependents,Employment_Type,Loan_Amount,Internet_Usage,Fraud_Suspected,Approved_Loan
30,90000,Female,Chicago,2BHK,4GB,,Yes,Married,2,Unemployed,10000,Medium,No,Yes
30,70000,Other,Los Angeles,Studio,,400,Yes,Widowed,N/A,Unemployed,150000,Low,No,No
30,90000,Male,Chicago,2BHK,2GB,500,Yes,Divorced,2,Self-Employed,10000,Very High,No,
Unknown,70000,Male,New York,Studio,,400,Yes,Single,2,Self-Employed,150000,Low,No,Yes
28,1500000,,Chicago,Studio,2GB,,Yes,Widowed,3,Salaried,20000,,No,Yes
25,70000,M,New York,1BHK,16GB,600,Yes,Single,1,,50000,High,No,No
30,1500000,F,Chicago,3BHK,32GB,400,Yes,Single,3,Salaried,10000,High,No,
28,80000,Male,Chicago,3BHK,2GB,400,Yes,Married,3,Unemployed,20000,Very High,No,No
,90000,M,Los Angeles,3BHK,,,Yes,Widowed,0,Business,5000,Low,No,No
25,70000,M,,3BHK,,600,Yes,Widowed,3,Business,20000,Low,No,No
,80000,Other,New York,Studio,8GB,600,Yes,Married,N/A,Self-Employed,20000,,No,Yes
28,60000,Male,,1BHK,,,Yes,Divorced,N/A,Business,Unknown,High,No,No
30,60000,Male,New York,4bhk,,,Yes,Single,0,Business,10000,Low,No,Yes
40,1500000,,Chicago,2BHK,8GB,400,Yes,,,Business,50000,Very High,No,Yes
28,N/A,Male,Los Angeles,1BHK,16GB,400,Yes,Single,1,Unemployed,50000,High,No,No
30,90000,,Chicago,1BHK,8GB,400,Yes,Single,1,Business,Unknown,,No,Yes
30,1500000,Male,New York,3BHK,4GB,600,Yes,Divorced,3,Business,150000,Very High,No,Yes
Unknown,N/A,F,New York,Studio,16GB,400,Yes,Single,3,Business,,Medium,No,No
40,60000,F,New York,3BHK,,600,Yes,Married,,Salaried,150000,,No,Yes
30,90000,F,Los Angeles,Studio,32GB,400,Yes,Married,3,Unemployed,50000,Very High,No,Yes
,90000,,Los Angeles,2BHK,8GB,Poor,Yes,Widowed,1,Self-Employed,20000,Low,Yes,Yes
28,90000,,Chicago,3BHK,32GB,500,Yes,,2,Salaried,Unknown,Medium,No,Yes
,90000,,New York,3BHK,,700,No,Single,N/A,,5000,,No,Yes
30,90000,Other,,3BHK,16GB,600,Yes,Single,2,Unemployed,10000,Low,No,Yes
Unknown,50000,Female,New York,4bhk,,600,Yes,Divorced,2,Unemployed,10000,Medium,No,
28,80000,,Los Angeles,Studio,2GB,Poor,Yes,Married,1,,10000,High,No,Yes
28,N/A,Male,New York,Studio,8GB,,Yes,,2,,20000,Low,No,Yes
,60000,F,,3BHK,4GB,400,Yes,Widowed,,,5000,Very High,No,Yes
Unknown,1500000,Male,,1BHK,16GB,800,Yes,Married,0,Self-Employed,Unknown,,No,
25,90000,,Los Angeles,3BHK,16GB,700,Yes,Widowed,3,Business,Unknown,Medium,No,Yes
,N/A,F,Los Angeles,1BHK,2GB,Excellent,Yes,Divorced,0,Unemployed,10000,Low,No,No
25,1500000,Female,Los Angeles,2BHK,32GB,800,Yes,Divorced,N/A,Business,5000,High,No,Yes
,90000,Male,Los Angeles,4bhk,,,Yes,Single,3,Business,5000,,No,
30,60000,M,Chicago,2BHK,8GB,300,Yes,,2,,5000,,No,
,70000,Other,New York,Studio,32GB,300,Yes,Widowed,N/A,Self-Employed,50000,Low,No,No
40,70000,F,Los Angeles,3BHK,2GB,600,Yes,Married,3,Salaried,50000,High,No,Yes
25,60000,Other,New York,4bhk,2GB,,Yes,Divorced,,Self-Employed,10000,Medium,No,Yes
30,90000,Male,Chicago,3BHK,2GB,700,Yes,Single,,Business,5000,Low,No,Yes
40,80000,Male,New York,Studio,32GB,Poor,Yes,Single,,Self-Employed,,Medium,No,Yes
28,90000,M,Los Angeles,2BHK,2GB,400,Yes,Widowed,,,5000,,No,Yes
Unknown,60000,,Chicago,2BHK,6GB,400,Yes,Divorced,2,Salaried,Unknown,Medium,No,Yes
45,90000,Other,Chicago,Studio,32GB,300,Yes,,0,,Unknown,High,No,
45,1500000,Male,New York,Studio,16GB,300,Yes,Divorced,3,Salaried,10000,Very High,No,No
Unknown,1500000,Male,Chicago,1BHK,8GB,,Yes,Widowed,2,Business,,High,No,
30,1500000,,New York,3BHK,,,Yes,Widowed,,Salaried,5000,Medium,No,
25,1500000,M,Chicago,2BHK,,600,Yes,Divorced,0,Salaried,150000,Low,No,
28,80000,,Los Angeles,Studio,32GB,800,Yes,Widowed,N/A,Salaried,,,No,Yes
,1500000,Female,Chicago,2BHK,2GB,600,Yes,Divorced,N/A,Self-Employed,10000,Very High,No,Yes
45,60000,M,,3BHK,8GB,,Yes,Married,N/A,Self-Employed,Unknown,Low,No,No
Unknown,70000,,Chicago,3BHK,8GB,700,Yes,Divorced,,Business,150000,Low,No,
45,70000,M,Los Angeles,2BHK,8GB,Poor,Yes,Divorced,N/A,Salaried,Unknown,High,No,
,70000,,,4bhk,2GB,300,Yes,Widowed,1,Unemployed,50000,Medium,No,Yes
28,80000,Male,Los Angeles,3BHK,,Excellent,Yes,Widowed,3,Business,10000,High,No,No
Unknown,80000,Male,New York,2BHK,32GB,700,Yes,Single,3,Salaried,10000,Medium,No,
30,80000,Male,New York,Studio,8GB,,Yes,Single,,Salaried,5000,High,No,
40,70000,F,,1BHK,16GB,Excellent,Yes,Married,1,Self-Employed,5000,Low,No,Yes
28,70000,Male,New York,3BHK,8GB,400,Yes,Single,2,Business,50000,,No,Yes
,70000,Other,,Studio,8GB,700,Yes,Divorced,2,Salaried,150000,Medium,No,Yes
40,80000,Male,Los Angeles,2BHK,,,Yes,Widowed,N/A,Salaried,20000,Very High,No,Yes
Unknown,90000,Male,Chicago,4bhk,32GB,600,Yes,Single,0,Business,,Very High,No,No
Unknown,1500000,M,Los Angeles,1BHK,8GB,600,No,Single,2,Unemployed,20000,Low,No,Yes
28,70000,Other,New York,4bhk,8GB,800,Yes,Married,0,Business,20000,High,No,
Unknown,1500000,F,Los Angeles,Studio,4GB,,Yes,Married,3,Business,10000,High,No,
40,60000,Male,Los Angeles,Studio,2GB,300,Yes,Divorced,0,Unemployed,,Low,No,
28,1500000,,Los Angeles,Studio,,400,Yes,Widowed,3,Business,10000,Very High,No,Yes
40,90000,Male,Chicago,Studio,32GB,500,Yes,Married,1,Salaried,,Very High,No,Yes
25,60000,F,Chicago,2BHK,,700,Yes,Single,1,Business,Unknown,High,No,Yes
,N/A,Other,New York,4bhk,8GB,700,No,Widowed,,Unemployed,10000,Medium,No,Yes
25,90000,F,Los Angeles,Studio,32GB,600,Yes,Widowed,,,10000,,No,No
45,60000,F,,Studio,32GB,300,Yes,Single,N/A,Business,10000,Medium,No,Yes
28,70000,F,New York,Studio,2GB,,Yes,Married,2,Self-Employed,150000,Very High,No,
28,90000,M,Los Angeles,Studio,8GB,400,Yes,Single,N/A,Salaried,50000,Medium,No,Yes
30,1500000,Male,Chicago,Studio,2GB,700,Yes,Widowed,3,Salaried,10000,,No,
Unknown,60000,F,Los Angeles,2BHK,2GB,700,Yes,,N/A,Self-Employed,5000,Medium,No,
Unknown,90000,Other,New York,2BHK,16GB,,Yes,,0,Self-Employed,5000,Medium,No,Yes
40,60000,Female,Los Angeles,3BHK,8GB,500,Yes,Divorced,3,Business,,Medium,No,
25,90000,,Los Angeles,Studio,2GB,600,Yes,Single,,Self-Employed,Unknown,Medium,Yes,No
40,60000,Female,New York,Studio,,700,Yes,Single,1,,50000,Low,No,Yes
,N/A,,Chicago,Studio,32GB,300,Yes,Divorced,,Unemployed,150000,Very High,No,Yes
28,N/A,Other,Chicago,1BHK,2GB,Poor,Yes,Divorced,2,Self-Employed,,,No,Yes
30,90000,Other,Los Angeles,3BHK,8GB,400,Yes,Divorced,3,Self-Employed,5000,Very High,No,No
Unknown,,M,Chicago,4bhk,,400,Yes,Widowed,3,,50000,Low,No,
28,60000,Other,New York,4bhk,2GB,Poor,Yes,Single,0,Salaried,50000,Low,No,No
Unknown,,,Los Angeles,1BHK,,Excellent,Yes,Widowed,2,Salaried,Unknown,Low,No,
25,80000,M,New York,Studio,,400,Yes,Divorced,1,Business,50000,Low,No,
25,90000,,New York,2BHK,8GB,500,Yes,Single,3,,10000,Medium,No,Yes
Unknown,N/A,Other,Los Angeles,1BHK,,,Yes,Widowed,3,Unemployed,50000,Very High,No,Yes
30,,,Los Angeles,4bhk,2GB,400,Yes,Widowed,0,Unemployed,Unknown,High,No,
30,80000,Female,New York,2BHK,2GB,Poor,Yes,Divorced,N/A,,,,No,Yes
30,70000,Other,New York,4bhk,32GB,Excellent,Yes,Single,1,Unemployed,Unknown,Low,No,
,90000,Female,Los Angeles,2BHK,8GB,700,Yes,Divorced,,Salaried,150000,Very High,No,Yes
Unknown,N/A,,New York,3BHK,8GB,,Yes,Single,2,Unemployed,Unknown,Low,No,Yes
40,,F,Los Angeles,2BHK,6GB,Poor,Yes,,3,Unemployed,5000,Low,No,
40,70000,Female,New York,4bhk,,700,Yes,Married,3,,10000,Low,No,
40,80000,F,Los Angeles,4bhk,16GB,800,Yes,Married,,,5000,Low,No,No
30,N/A,Male,New York,4bhk,8GB,Excellent,Yes,Married,1,Unemployed,,Low,No,Yes
,N/A,Male,New York,1BHK,,600,Yes,Divorced,N/A,Self-Employed,20000,,No,No
30,80000,F,New York,4bhk,2GB,800,Yes,,3,,,Very High,No,Yes
45,1500000,Female,New York,2BHK,8GB,400,Yes,Single,1,Business,10000,Low,No,No
,N/A,Other,Chicago,3BHK,2GB,400,Yes,Widowed,,Business,50000,Low,No,No
Unknown,90000,Male,Chicago,1BHK,8GB,Excellent,Yes,Single,0,Salaried,Unknown,Low,No,Yes
Unknown,90000,,Los Angeles,Studio,16GB,Excellent,Yes,Widowed,N/A,Unemployed,20000,Low,No,
25,60000,Female,Los Angeles,Studio,2GB,700,Yes,Single,2,Self-Employed,10000,Medium,No,Yes
30,,Male,Chicago,2BHK,16GB,300,Yes,,3,Salaried,5000,Medium,No,No
28,50000,Other,New York,3BHK,16GB,,Yes,Widowed,1,Unemployed,Unknown,High,No,No
Unknown,N/A,,Chicago,4bhk,8GB,300,Yes,Divorced,0,,,Low,No,Yes
,1500000,Male,New York,3BHK,8GB,800,Yes,Single,2,Business,5000,High,No,Yes
25,N/A,,New York,3BHK,16GB,Excellent,Yes,Single,1,Self-Employed,10000,,No,Yes
Unknown,N/A,Male,New York,2BHK,16GB,400,Yes,Widowed,1,Business,10000,High,No,
,80000,Male,Los Angeles,Studio,8GB,Excellent,Yes,Divorced,2,,,Very High,No,
28,90000,Female,New York,3BHK,6GB,Poor,Yes,Divorced,0,Unemployed,20000,Medium,No,
Unknown,90000,M,Chicago,3BHK,,,Yes,,,,,Medium,No,Yes
40,1500000,Male,New York,Studio,,700,Yes,Divorced,0,,50000,Low,No,Yes
30,1500000,Other,Chicago,2BHK,,300,Yes,Divorced,N/A,Business,5000,Low,No,No
,1500000,Female,Los Angeles,3BHK,8GB,600,Yes,Divorced,3,Self-Employed,20000,,No,Yes
,,,Chicago,2BHK,32GB,Excellent,Yes,Married,2,,Unknown,,No,No
,70000,Male,New York,3BHK,8GB,300,Yes,,,Business,150000,Very High,No,
,N/A,Male,New York,4bhk,8GB,400,Yes,Single,2,Self-Employed,50000,Low,No,No
,90000,Female,Chicago,4bhk,8GB,,Yes,Widowed,2,Unemployed,20000,Low,No,Yes
30,,Female,New York,1BHK,,700,Yes,Single,0,Unemployed,150000,,No,Yes
Unknown,60000,Male,Chicago,3BHK,8GB,,No,,3,Salaried,150000,,No,No
30,,,Los Angeles,2BHK,8GB,400,Yes,Widowed,N/A,Business,5000,,No,Yes
45,70000,Male,Los Angeles,2BHK,16GB,Excellent,Yes,,1,Self-Employed,10000,Medium,No,
28,80000,Female,New York,Studio,32GB,500,Yes,Divorced,1,,Unknown,High,No,
Unknown,90000,Other,Los Angeles,Studio,,300,Yes,Widowed,2,Unemployed,,High,No,No
28,1500000,,Los Angeles,1BHK,8GB,Poor,Yes,Divorced,3,Self-Employed,5000,Low,No,
